block_label,block_content
Extract Card Data,"When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 395 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2      |
| p29_res_variable_id   | 000395 |
| p29_res_variable_data | 0      |
When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 396 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2      |
| p29_res_variable_id   | 000396 |
| p29_res_variable_data | true   |
When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 398 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2      |
| p29_res_variable_id   | 000398 |
| p29_res_variable_data | <pan>  |
When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 399 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2                |
| p29_res_variable_id   | 000399           |
| p29_res_variable_data | <cardholdername> |
When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 400 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2                 |
| p29_res_variable_id   | 000400            |
| p29_res_variable_data | <expect_exp_date> |
Examples:
| card_type  | pan              | expect_exp_date | exp_date | code | add_data1 | add_data2 | cardholdername   |
| Mastercard | 5413330089020011 | 2512            | 1225     | 221  | 000000    | 000       | MANUALLY/ENTERED |
@rx5000 @rx7000 @me
Scenario Outline: Manual entry transaction with 23.x and 29.x message to verify variables 396 398 399 400"
Unknown,"Given I successfully changed configuration ""0007"" ""0029"" to ""1"""
Precondition,"When I send a 00.x Offline message to the terminal with params:
| p00_req_reason_code | 0000 |
Then I should receive the 00.x Offline response from terminal with params:
| p00_res_reason_code | 0000 |
And I Wait until Element ""title"" contains ""This Lane Closed""
And I wait until Element ""imageOffline"" visible"
Card Swipe,"When I send a 23.x Card Read message to the terminal with:
| p23_req_prompt_index   | 312 |
| p23_req_enable_devices | M   |
Then I Wait until Element ""title"" contains ""Insert, Swipe or Tap Card"""
Unknown,"And I wait until Element ""btn_cancel"" visible
And I wait until Element ""line_display"" visible
And I wait until Element ""btn_manual_entry"" visible"
Unknown,"And I click Element ""btn_manual_entry""
When I click Element ""ed_pan"""
Unknown,"Then I send keys to Element ""ed_pan"" text ""<pan>""
And I press enter button"
Unknown,"When I click Element ""ed_cvv"""
Unknown,"Then I send keys to Element ""ed_cvv"" text ""<code>""
And I press enter button"
Unknown,"When I click Element ""ed_expiry_date"""
Card Swipe,"And I send keys to Element ""ed_expiry_date"" text ""<exp_date>"" and then ENTER
Then I should receive the 23.x Read Card response from terminal with params:
| p23_res_exit_type   | 0                                                                     |
| p23_res_card_source | H                                                                     |
| p23_res_track1      | M<pan>^<cardholdername>^<expect_exp_date><add_data1><code><add_data1> |
| p23_res_track2      | <pan>=<expect_exp_date><add_data1><code><add_data2>                   |
| p23_res_track3      |                                                                       |"
Extract Card Data,"When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 395 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2      |
| p29_res_variable_id   | 000395 |
| p29_res_variable_data | 0      |
When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 396 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2      |
| p29_res_variable_id   | 000396 |
| p29_res_variable_data | true   |
When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 398 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2      |
| p29_res_variable_id   | 000398 |
| p29_res_variable_data | <pan>  |
When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 399 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2                |
| p29_res_variable_id   | 000399           |
| p29_res_variable_data | <cardholdername> |
When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 400 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2                 |
| p29_res_variable_id   | 000400            |
| p29_res_variable_data | <expect_exp_date> |
Examples:
| card_type  | pan              | expect_exp_date | exp_date | code | add_data1 | add_data2 | cardholdername   |
| Mastercard | 5413330089020011 | 2512            | 1225     | 221  | 000000    | 000       | MANUALLY/ENTERED |
@dx8000 @ex8000 @dx4000 @me
Scenario Outline: Manual entry transaction with 87.x and 29.x message to verify variables 396 398 399 400"
Unknown,"Given I successfully changed configuration ""0007"" ""0029"" to ""1"""
Precondition,"When I send a 00.x Offline message to the terminal with params:
| p00_req_reason_code | 0000 |
Then I should receive the 00.x Offline response from terminal with params:
| p00_res_reason_code | 0000 |
And I Wait until Element ""title"" contains ""This Lane Closed""
And I wait until Element ""imageOffline"" visible"
Unknown,"When I send a 87.x On-Guard and KME Card Read message to the terminal with:
| p87_req_prompt_index    | 1          |
| p87_req_form_name       | read_cards |
| p87_req_enabled_devices | M          |"
Unknown,"And I wait until Element ""btn_cancel"" visible
And I wait until Element ""line_display"" visible
And I wait until Element ""btn_manual_entry"" visible"
Unknown,"And I click Element ""btn_manual_entry""
When I click Element ""ed_pan"""
Unknown,"Then I send keys to Element ""ed_pan"" text ""<pan>""
And I press enter button"
Unknown,"When I click Element ""ed_cvv"""
Unknown,"Then I send keys to Element ""ed_cvv"" text ""<code>""
And I press enter button"
Unknown,"When I click Element ""ed_expiry_date"""
Unknown,"Then I send keys to Element ""ed_expiry_date"" text ""<exp_date>""
And I press enter button"
Unknown,"When I click Element ""btn_manual_confirm"""
Unknown,"Then I should receive the 87.x On-Guard and KME Card Read Data response from terminal with params:
| p87_res_exit_type   | 0                                                                        |
| p87_res_card_source | H                                                                        |
| p87_res_card_data   | @regexp:^M<pan>\^<cardholdername>\^<expect_exp_date><add_data1><code>.*$ |"
Extract Card Data,"When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 395 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2      |
| p29_res_variable_id   | 000395 |
| p29_res_variable_data | 0      |
When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 396 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2      |
| p29_res_variable_id   | 000396 |
| p29_res_variable_data | true   |
When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 398 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2      |
| p29_res_variable_id   | 000398 |
| p29_res_variable_data | <pan>  |
When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 399 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2                |
| p29_res_variable_id   | 000399           |
| p29_res_variable_data | <cardholdername> |
When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 400 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2                 |
| p29_res_variable_id   | 000400            |
| p29_res_variable_data | <expect_exp_date> |
Examples:
| card_type  | pan              | expect_exp_date | exp_date | code | add_data1 | cardholdername   |
| Mastercard | 5413330089020011 | 2512            | 1225     | 221  | 000000    | MANUALLY/ENTERED |
@rx5000 @rx7000 @me
Scenario Outline: Manual entry transaction with 87.x and 29.x message to verify variables 396 398 399 400"
Unknown,"Given I successfully changed configuration ""0007"" ""0029"" to ""1"""
Precondition,"When I send a 00.x Offline message to the terminal with params:
| p00_req_reason_code | 0000 |
Then I should receive the 00.x Offline response from terminal with params:
| p00_res_reason_code | 0000 |
And I Wait until Element ""title"" contains ""This Lane Closed""
And I wait until Element ""imageOffline"" visible"
Unknown,"When I send a 87.x On-Guard and KME Card Read message to the terminal with:
| p87_req_prompt_index    | 1          |
| p87_req_form_name       | read_cards |
| p87_req_enabled_devices | M          |"
Unknown,"And I wait until Element ""btn_cancel"" visible
And I wait until Element ""line_display"" visible
And I wait until Element ""btn_manual_entry"" visible"
Unknown,"When I click Element ""btn_manual_entry""
And I click Element ""ed_pan"""
Unknown,"And I send keys to Element ""ed_pan"" text ""<pan>""
And I press enter button"
Unknown,"When I click Element ""ed_cvv"""
Unknown,"And I send keys to Element ""ed_cvv"" text ""<code>""
And I press enter button"
Unknown,"When I click Element ""ed_expiry_date"""
Unknown,"And I send keys to Element ""ed_expiry_date"" text ""<exp_date>"" and then ENTER"
Unknown,"Then I should receive the 87.x On-Guard and KME Card Read Data response from terminal with params:
| p87_res_exit_type   | 0                                                                        |
| p87_res_card_source | H                                                                        |
| p87_res_card_data   | @regexp:^M<pan>\^<cardholdername>\^<expect_exp_date><add_data1><code>.*$ |"
Extract Card Data,"When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 395 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2      |
| p29_res_variable_id   | 000395 |
| p29_res_variable_data | 0      |
When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 396 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2      |
| p29_res_variable_id   | 000396 |
| p29_res_variable_data | true   |
When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 398 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2      |
| p29_res_variable_id   | 000398 |
| p29_res_variable_data | <pan>  |
When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 399 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2                |
| p29_res_variable_id   | 000399           |
| p29_res_variable_data | <cardholdername> |
When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 400 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2                 |
| p29_res_variable_id   | 000400            |
| p29_res_variable_data | <expect_exp_date> |
Examples:
| card_type  | pan              | expect_exp_date | exp_date | code | add_data1 | cardholdername   |
| Mastercard | 5413330089020011 | 2512            | 1225     | 221  | 000000    | MANUALLY/ENTERED |
@dx8000 @ex8000 @dx4000 @rx5000 @rx7000 @msr
Scenario Outline: MSR transaction with 23.x and 29.x message to verify variables 394 395 396 398 399 400"
Precondition,"Given I send a 00.x Offline message to the terminal with params:
| p00_req_reason_code | 0000 |
Then I should receive the 00.x Offline response from terminal with params:
| p00_res_reason_code | 0000 |
And I Wait until Element ""title"" contains ""This Lane Closed""
And I wait until Element ""imageOffline"" visible"
Card Swipe,"When I send a 23.x Card Read message to the terminal with:
| p23_req_prompt_index   | 311        |
| p23_req_form_name      | read_cards |
| p23_req_enable_devices | M          |
Then I Wait until Element ""title"" contains ""Please swipe or insert card"""
Unknown,"And  I wait until Element ""btn_cancel"" visible"
Unknown,"When I swipe card using this params:
| track1_data | B<pan>^<name>^<exp_date><code><disc_data_t1> |
| track2_data | <pan>=<exp_date><code><disc_data_t2>         |
| track3_data |                                              |"
Card Swipe,"Then I should receive the 23.x Read Card response from terminal with params:
| p23_res_exit_type   | 0                                            |
| p23_res_card_source | M                                            |
| p23_res_track1      | B<pan>^<name>^<exp_date><code><disc_data_t1> |
| p23_res_track2      | <pan>=<exp_date><code><disc_data_t2>         |
| p23_res_track3      |                                              |"
Extract Card Data,"When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 394 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2      |
| p29_res_variable_id   | 000394 |
| p29_res_variable_data | <code> |
When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 395 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2      |
| p29_res_variable_id   | 000395 |
| p29_res_variable_data | 0      |
When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 396 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2      |
| p29_res_variable_id   | 000396 |
| p29_res_variable_data | true   |
When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 398 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2      |
| p29_res_variable_id   | 000398 |
| p29_res_variable_data | <pan>  |
When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 399 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2      |
| p29_res_variable_id   | 000399 |
| p29_res_variable_data | <name> |
When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 400 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2          |
| p29_res_variable_id   | 000400     |
| p29_res_variable_data | <exp_date> |
Examples:
| card_type  | amount | pan              | name      | exp_date | code | disc_data_t1    | disc_data_t2  |
| Mastercard | 120    | 5413339000000119 | TEST/CARD | 2412     | 221  | 000000140000000 | 0000014000001 |
@dx8000 @ex8000 @dx4000 @rx5000 @rx7000 @msr
Scenario Outline: MSR transaction with 41.x and 29.x message to verify variables 394 395 396 398 399 400"
Precondition,"Given I send a 00.x Offline message to the terminal with params:
| p00_req_reason_code | 0000 |
Then I should receive the 00.x Offline response from terminal with params:
| p00_res_reason_code | 0000 |
And I Wait until Element ""title"" contains ""This Lane Closed""
And I wait until Element ""imageOffline"" visible"
Unknown,"When I send a 41.x Card Read Message message to the terminal with params:
| p41_req_parse_flag       | 1 |
| p41_req_msr_flag         | 1 |
| p41_req_contactless_flag | 0 |
| p41_req_smc_flag         | 0 |"
Unknown,Then I wait for 23 seconds
Unknown,"When I swipe card using this params:
| track1_data | B<pan>^<name>^<exp_date><code><disc_data_t1> |
| track2_data | <pan>=<exp_date><code><disc_data_t2>         |
| track3_data |                                              |"
Unknown,And I wait for 2 seconds
Unknown,"Then I should receive the 41.x Card Read Message response from terminal with params:
| p41_res_source          | M                                            |
| p41_res_encryption      | 00                                           |
| p41_res_track_1_status  | 0                                            |
| p41_res_track_2_status  | 0                                            |
| p41_res_track_3_status  | 1                                            |
| p41_res_track_1         | B<pan>^<name>^<exp_date><code><disc_data_t1> |
| p41_res_track_2         | <pan>=<exp_date><code><disc_data_t2>         |
| p41_res_track_3         |                                              |
| p41_res_pan             | <pan>                                        |
| p41_res_masked_pan      | <pan>                                        |
| p41_res_expiration_date | <exp_date>                                   |
| p41_res_account_name    | <name>                                       |
| p41_res_error_code      | 0                                            |"
Extract Card Data,"When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 394 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2      |
| p29_res_variable_id   | 000394 |
| p29_res_variable_data | <code> |
When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 395 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2      |
| p29_res_variable_id   | 000395 |
| p29_res_variable_data | 0      |
When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 396 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2      |
| p29_res_variable_id   | 000396 |
| p29_res_variable_data | true   |
When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 398 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2      |
| p29_res_variable_id   | 000398 |
| p29_res_variable_data | <pan>  |
When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 399 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2      |
| p29_res_variable_id   | 000399 |
| p29_res_variable_data | <name> |
When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 400 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2          |
| p29_res_variable_id   | 000400     |
| p29_res_variable_data | <exp_date> |
Examples:
| card_type | pan              | name          | exp_date | code | disc_data_t1  | disc_data_t2  |
| DISCOVER  | 6510000000000091 | CARD/IMAGE 09 | 1712     | 702  | 1000041300000 | 1000041300000 |
@dx8000 @ex8000 @dx4000 @rx5000 @rx7000 @msr
Scenario Outline: MSR transaction with 87.x and 29.x message to verify variables 394 395 396 398 399 400"
Precondition,"Given I send a 00.x Offline message to the terminal with params:
| p00_req_reason_code | 0000 |
Then I should receive the 00.x Offline response from terminal with params:
| p00_res_reason_code | 0000 |
And I Wait until Element ""title"" contains ""This Lane Closed""
And I wait until Element ""imageOffline"" visible"
Unknown,"When I send a 87.x On-Guard and KME Card Read message to the terminal with:
| p87_req_prompt_index    | 3          |
| p87_req_form_name       | read_cards |
| p87_req_enabled_devices | M          |"
Unknown,"Then I Wait until Element ""title"" contains ""Please slide card""
And I wait until Element ""btn_cancel"" visible
And I wait for 1 second"
Unknown,"When I swipe card using this params:
| track1_data | B<pan>^<name>^<exp_date><code><disc_data_t1> |
| track2_data | <pan>=<exp_date><code><disc_data_t2>         |
| track3_data |                                              |
Then I should receive the 87.x On-Guard and KME Card Read Data response from terminal with params:
| p87_res_exit_type   | 0                                                                                                    |
| p87_res_card_source | M                                                                                                    |
| p87_res_card_data   | @regexp:^B<pan>\^<name>\^<exp_date><code><disc_data_t1>\x1C<pan>=<exp_date><code><disc_data_t2>\x1C$ |"
Extract Card Data,"When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 394 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2      |
| p29_res_variable_id   | 000394 |
| p29_res_variable_data | <code> |
When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 395 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2      |
| p29_res_variable_id   | 000395 |
| p29_res_variable_data | 0      |
When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 396 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2      |
| p29_res_variable_id   | 000396 |
| p29_res_variable_data | true   |
When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 398 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2      |
| p29_res_variable_id   | 000398 |
| p29_res_variable_data | <pan>  |
When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 399 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2      |
| p29_res_variable_id   | 000399 |
| p29_res_variable_data | <name> |
When I send a 29.x Get Variable message to the terminal with:
| p29_req_variable_id | 400 |
Then I should receive the 29.x Get Variable response from terminal with params:
| p29_res_status        | 2          |
| p29_res_variable_id   | 000400     |
| p29_res_variable_data | <exp_date> |
Examples:
| card_type | pan            | name                      | exp_date | code | disc_data_t1    | disc_data_t2 |
| VISA      | 34798979016630 | XNHKBPMOENSGWLH/VVKLBTTVC | 2011     | 885  | 131026887693372 | 887693372    |"
Unknown,"@sde @msr @00x @60x @61x @23x @dx8000 @ex8000 @dx4000 @rx5000 @rx7000
Feature:  Validate track encryption indicator values
""""""
This feature file validates track encryption indicator with its values for msr track1 , track2 , track1&2
based on ticket https://ingenico-nar.atlassian.net/browse/ARC-1800
""""""
Scenario: Enable On-Guard SDE Encryption Configuration"
Precondition,"Given I send a 00.x Offline message to the terminal with params:
| p00_req_reason_code | 0000 |
Then I should receive the 00.x Offline response from terminal with params:
| p00_res_reason_code | 0000 |"
Unknown,"When I have successfully sent ""Files/p2p_encryptions/ArcOnGuardSDE.apk"" file using these params:
| p62_req_file_name       | ArcOnGuardSDE.apk |
| p62_req_encoding_format | B                 |
| p62_req_fast_download   | 1                 |
| p62_req_unpack_flag     | 0                 |
Then I should receive the 62.x Write File response from terminal with params:
| p62_res_status      | 0            |
| p62_res_file_length | @regexp:.\d* |"
Precondition,"When I send a 61.x Read Configuration message to the terminal with:
| p61_req_group_num | 91 |
| p61_req_index_num | 1  |
Then I should receive the 61.x Read Configuration response from terminal with params:
| p61_res_status                | 2  |
| p61_res_group_num             | 91 |
| p61_res_index_num             | 1  |
| p61_res_data_config_parameter | 19 |
Scenario Outline: On-Guard SDE Encryption For MSR Transaction with only track1 data and track encryption indicator =1
Given I send a 00.x Offline message to the terminal with params:
| p00_req_reason_code | 0000 |
Then I should receive the 00.x Offline response from terminal with params:
| p00_res_reason_code | 0000 |
And I Wait until Element ""title"" contains ""This Lane Closed""
And I wait until Element ""imageOffline"" visible
When I send a 61.x Read Configuration message to the terminal with:
| p61_req_group_num | 91 |
| p61_req_index_num | 1  |
Then I should receive the 61.x Read Configuration response from terminal with params:
| p61_res_status                | 2  |
| p61_res_group_num             | 91 |
| p61_res_index_num             | 1  |
| p61_res_data_config_parameter | 19 |"
Card Swipe,"When I send a 23.x Read Card message to the terminal with:
| p23_req_prompt_index   | 3 |
| p23_req_enable_devices | M |
Then I Wait until Element ""title"" contains ""Please slide card""
And  I wait until Element ""btn_cancel"" visible"
Card Swipe,"When Axium swipe magnetic card:
| track1 | B<pan>^<name>^<exp_date><code><disc_data_t1> |
| track2 |                                              |
| track3 |                                              |
Then I should receive the 23.x Card Read response from terminal with params:
| p23_res_exit_type   | 0                                                            |
| p23_res_card_source | M                                                            |
| p23_res_track1      | %B<masked_pan>^<name>^<exp_date><code><masked_disc_data_t1>? |
| p23_res_track2      |                                                              |
| p23_res_track3      | @regexp:.+:1:.+                                              |
Examples:
| card_type  | pan              | name               | exp_date | code | disc_data_t1                 | masked_pan       | masked_disc_data_t1          | null_characters          |
| Mastercard | 5413330089020011 | TEST/CARD          | 2412     | 221  | 000000140000000              | 5413330000000011 | 000000000000000              | \x00\x00\x00\x00\x00\x00 |
| Amex       | 374245001731008  | XP CARD 07/VER 2.0 | 2103     | 201  | 150412345                    | 374245000001008  | 000000000                    | \x00\x00\x00\x00         |
| VISA       | 4264510228395621 | JOHN/SMITH         | 1709     | 206  | 0000000000000000000704001000 | 4264510000005621 | 0000000000000000000000000000 |                          |
| DISCOVER   | 6510000000000091 | CARD/IMAGE 09      | 1712     | 702  | 1000041300000                | 6510000000000091 | 0000000000000                | \x00\x00\x00\x00         |
| Diners     | 36039667170472   | PETTITT/JO         | 0012     | 521  | 16010000000000000946         | 36039600000472   | 00000000000000000000         | \x00\x00                 |
Scenario Outline: On-Guard SDE Encryption For MSR Transaction with only track2 data and track encryption indicator = 2"
Precondition,"Given I send a 00.x Offline message to the terminal with params:
| p00_req_reason_code | 0000 |
Then I should receive the 00.x Offline response from terminal with params:
| p00_res_reason_code | 0000 |
And I Wait until Element ""title"" contains ""This Lane Closed""
And I wait until Element ""imageOffline"" visible
When I send a 61.x Read Configuration message to the terminal with:
| p61_req_group_num | 91 |
| p61_req_index_num | 1  |
Then I should receive the 61.x Read Configuration response from terminal with params:
| p61_res_status                | 2  |
| p61_res_group_num             | 91 |
| p61_res_index_num             | 1  |
| p61_res_data_config_parameter | 19 |"
Card Swipe,"When I send a 23.x Read Card message to the terminal with:
| p23_req_prompt_index   | 3 |
| p23_req_enable_devices | M |
Then I Wait until Element ""title"" contains ""Please slide card""
And  I wait until Element ""btn_cancel"" visible"
Card Swipe,"When Axium swipe magnetic card:
| track1 |                                      |
| track2 | <pan>=<exp_date><code><disc_data_t2> |
| track3 |                                      |
Then I should receive the 23.x Card Read response from terminal with params:
| p23_res_exit_type   | 0                                                    |
| p23_res_card_source | M                                                    |
| p23_res_track1      |                                                      |
| p23_res_track2      | ;<masked_pan>=<exp_date><code><masked_disc_data_t2>? |
| p23_res_track3      | @regexp:.+:2:.+                                      |
Examples:
| card_type  | pan              | exp_date | code | disc_data_t2   | masked_pan       | masked_disc_data_t2 | null_characters      |
| Mastercard | 5413330089020011 | 2412     | 221  | 0000014000001  | 5413330000000011 | 0000000000000       | \x00\x00\x00         |
| Amex       | 374245001731008  | 2103     | 201  | 15041234500000 | 374245000001008  | 00000000000000      | \x00\x00\x00         |
| VISA       | 4264510228395621 | 1709     | 206  | 0000070400100  | 4264510000005621 | 0000000000000       | \x00\x00\x00         |
| DISCOVER   | 6510000000000091 | 1712     | 702  | 1000041300000  | 6510000000000091 | 0000000000000       | \x00\x00\x00         |
| Diners     | 36039667170472   | 0012     | 521  | 1000041300000  | 36039600000472   | 0000000000000       | \x00\x00\x00\x00\x00 |
Scenario Outline: On-Guard SDE Encryption For MSR Transaction with track1 and track2 data and track encryption indicator =4"
Precondition,"Given I send a 00.x Offline message to the terminal with params:
| p00_req_reason_code | 0000 |
Then I should receive the 00.x Offline response from terminal with params:
| p00_res_reason_code | 0000 |
And I Wait until Element ""title"" contains ""This Lane Closed""
And I wait until Element ""imageOffline"" visible
When I send a 61.x Read Configuration message to the terminal with:
| p61_req_group_num | 91 |
| p61_req_index_num | 1  |
Then I should receive the 61.x Read Configuration response from terminal with params:
| p61_res_status                | 2  |
| p61_res_group_num             | 91 |
| p61_res_index_num             | 1  |
| p61_res_data_config_parameter | 19 |"
Card Swipe,"When I send a 23.x Read Card message to the terminal with:
| p23_req_prompt_index   | 3 |
| p23_req_enable_devices | M |
Then I Wait until Element ""title"" contains ""Please slide card""
And  I wait until Element ""btn_cancel"" visible"
Card Swipe,"When Axium swipe magnetic card:
| track1 | B<pan>^<name>^<exp_date><code><disc_data_t1> |
| track2 | <pan>=<exp_date><code><disc_data_t2>         |
| track3 |                                              |
Then I should receive the 23.x Card Read response from terminal with params:
| p23_res_exit_type   | 0                                                            |
| p23_res_card_source | M                                                            |
| p23_res_track1      | %B<masked_pan>^<name>^<exp_date><code><masked_disc_data_t1>? |
| p23_res_track2      | ;<masked_pan>=<exp_date><code><masked_disc_data_t2>?         |
| p23_res_track3      | @regexp:.+:4:.+                                              |
Examples:
| card_type  | pan              | name               | exp_date | code | disc_data_t1                 | disc_data_t2   | masked_pan       | masked_disc_data_t1          | masked_disc_data_t2 |
| Mastercard | 5413330089020011 | TEST/CARD          | 2412     | 221  | 000000140000000              | 0000014000001  | 5413330000000011 | 000000000000000              | 0000000000000       |
| Amex       | 374245001731008  | XP CARD 07/VER 2.0 | 2103     | 201  | 150412345                    | 15041234500000 | 374245000001008  | 000000000                    | 00000000000000      |
| VISA       | 4264510228395621 | JOHN/SMITH         | 1709     | 206  | 0000000000000000000704001000 | 0000070400100  | 4264510000005621 | 0000000000000000000000000000 | 0000000000000       |
| DISCOVER   | 6510000000000091 | CARD/IMAGE 09      | 1712     | 702  | 1000041300000                | 1000041300000  | 6510000000000091 | 0000000000000                | 0000000000000       |
| Diners     | 36039667170472   | PETTITT/JO         | 0012     | 521  | 16010000000000000946         | 1000041300000  | 36039600000472   | 00000000000000000000         | 0000000000000       |
| VISA       | 4761739001010010 | Test Card 04       | 2212     | 201  | 16010000000000000946         | 1000041300000  | 4761730000000010 | 00000000000000000000         | 0000000000000       |
| Mastercard | 5413330089099130 | Test Card 20       | 2512     | 201  | 16010000000000000946         | 1000041300000  | 5413330000009130 | 00000000000000000000         | 0000000000000       |
Scenario: Teardown - Reset to Default State"
Precondition,"Given I send a 00.x Offline message to the terminal with params:
| p00_req_reason_code | 0000 |
Then I should receive the 00.x Offline response from terminal with params:
| p00_res_reason_code | 0000 |
And I Wait until Element ""title"" contains ""This Lane Closed""
And I wait until Element ""imageOffline"" visible"
Unknown,"When I have successfully sent ""Files/p2p_encryptions/ArcNoEncryption.apk"" file using these params:
| p62_req_file_name       | ArcNoEncryption.apk |
| p62_req_encoding_format | B                   |
| p62_req_fast_download   | 1                   |
| p62_req_unpack_flag     | 0                   |
Then I should receive the 62.x Write File response from terminal with params:
| p62_res_status      | 0          |
| p62_res_file_length | @regexp:.* |
When I send a 61.x Configuration Read message to the terminal with:
| p61_req_group_num | 91 |
| p61_req_index_num | 1  |
Then I should receive the 61.x Configuration Read response from terminal with params:
| p61_res_status                | 2  |
| p61_res_group_num             | 91 |
| p61_res_index_num             | 1  |
| p61_res_data_config_parameter | 0  |"
